id,hospcode,areacode,date_com,b_year,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7,r2_1,r2_2,r3,r4,r5,r6
"297c1cb035778f7b49357693e6867e6c","12256","12010200","202511170715","2568",5811,3741,1253,214,251,20,518,22,532,47,180,0,2777
"297c1cb035778f7b49357693e6867e6c","02539","30010504","202511160333","2568",15,0,0,0,15,1,7,10,73,76,120,0,0
"297c1cb035778f7b49357693e6867e6c","02544","30010904","202511160333","2568",1,1,0,0,21,0,0,3,11,24,6,0,1
"297c1cb035778f7b49357693e6867e6c","05812","50010805","202511152317","2568",4,0,3,0,35,0,55,0,12,22,115,0,0
"297c1cb035778f7b49357693e6867e6c","02189","24010808","202511180446","2568",0,0,0,0,0,0,0,0,0,0,27,0,0
"297c1cb035778f7b49357693e6867e6c","07854","70010203","202511171608","2568",0,0,0,0,2,2,1,0,0,30,61,0,0
"297c1cb035778f7b49357693e6867e6c","11088","46140308","202511170452","2568",700,26,539,264,118,0,400,11,1121,838,782,0,2
"297c1cb035778f7b49357693e6867e6c","01804","20010403","202511171541","2568",0,0,0,0,5,0,2,0,4,23,11,0,7
"297c1cb035778f7b49357693e6867e6c","00934","11010302","202511171855","2568",0,0,0,0,20,0,0,0,2,117,91,0,2
"297c1cb035778f7b49357693e6867e6c","06889","60010202","202511170847","2568",6,0,1,1,8,0,1,0,12,239,89,0,0
"297c1cb035778f7b49357693e6867e6c","11597","10480108","202511180554","2568",7,18,2,14,89,0,6,2,47,17,121,0,1
"297c1cb035778f7b49357693e6867e6c","03281","33010705","202511180220","2568",0,0,0,5,6,0,2,0,20,131,174,0,0
"297c1cb035778f7b49357693e6867e6c","02078","22060302","202511180401","2568",0,0,0,0,0,0,0,0,0,25,20,0,0
"297c1cb035778f7b49357693e6867e6c","00935","11010305","202511171855","2568",20,2,12,56,69,7,13,14,296,309,410,0,10
"297c1cb035778f7b49357693e6867e6c","09145","84010306","202511170550","2568",0,0,0,0,53,0,7,0,31,44,126,0,0
"297c1cb035778f7b49357693e6867e6c","10016","95010201","202511171039","2568",0,0,0,0,14,0,0,0,1,21,34,0,0
"297c1cb035778f7b49357693e6867e6c","06798","57140316","202511180600","2568",0,0,0,0,13,0,0,0,0,8,94,0,0
"297c1cb035778f7b49357693e6867e6c","02117","23010308","202511172305","2568",0,0,0,0,15,0,4,0,2,0,0,0,1
