ordering,group_name,w_01_m,w_02_m,w_03_m,w_04_m,w_05_m,w_06_m,w_07_m,w_08_m,w_09_m,w_10_m,w_11_m,w_12_m,w_13_m,w_14_m,w_15_m,w_16_m,w_17_m,w_18_m,w_19_m,w_20_m,w_21_m,w_22_m,w_23_m,w_24_m,w_25_m,w_26_m,w_27_m,w_28_m,w_29_m,w_30_m,w_31_m,w_32_m,w_33_m,w_34_m,w_35_m,w_36_m,w_37_m,w_38_m,w_39_m,w_40_m,w_41_m,w_42_m,w_43_m,w_44_m,w_45_m,w_46_m,w_47_m,w_48_m,w_49_m,w_50_m,w_51_m,w_52_m,w_53_m,all_m,w_01_z,w_02_z,w_03_z,w_04_z,w_05_z,w_06_z,w_07_z,w_08_z,w_09_z,w_10_z,w_11_z,w_12_z,w_13_z,w_14_z,w_15_z,w_16_z,w_17_z,w_18_z,w_19_z,w_20_z,w_21_z,w_22_z,w_23_z,w_24_z,w_25_z,w_26_z,w_27_z,w_28_z,w_29_z,w_30_z,w_31_z,w_32_z,w_33_z,w_34_z,w_35_z,w_36_z,w_37_z,w_38_z,w_39_z,w_40_z,w_41_z,w_42_z,w_43_z,w_44_z,w_45_z,w_46_z,w_47_z,w_48_z,w_49_z,w_50_z,w_51_z,w_52_z,w_53_z,all_z,w_01_y,w_02_y,w_03_y,w_04_y,w_05_y,w_06_y,w_07_y,w_08_y,w_09_y,w_10_y,w_11_y,w_12_y,w_13_y,w_14_y,w_15_y,w_16_y,w_17_y,w_18_y,w_19_y,w_20_y,w_21_y,w_22_y,w_23_y,w_24_y,w_25_y,w_26_y,w_27_y,w_28_y,w_29_y,w_30_y,w_31_y,w_32_y,w_33_y,w_34_y,w_35_y,w_36_y,w_37_y,w_38_y,w_39_y,w_40_y,w_41_y,w_42_y,w_43_y,w_44_y,w_45_y,w_46_y,w_47_y,w_48_y,w_49_y,w_50_y,w_51_y,w_52_y,w_53_y,all_y,w_01_zy,w_02_zy,w_03_zy,w_04_zy,w_05_zy,w_06_zy,w_07_zy,w_08_zy,w_09_zy,w_10_zy,w_11_zy,w_12_zy,w_13_zy,w_14_zy,w_15_zy,w_16_zy,w_17_zy,w_18_zy,w_19_zy,w_20_zy,w_21_zy,w_22_zy,w_23_zy,w_24_zy,w_25_zy,w_26_zy,w_27_zy,w_28_zy,w_29_zy,w_30_zy,w_31_zy,w_32_zy,w_33_zy,w_34_zy,w_35_zy,w_36_zy,w_37_zy,w_38_zy,w_39_zy,w_40_zy,w_41_zy,w_42_zy,w_43_zy,w_44_zy,w_45_zy,w_46_zy,w_47_zy,w_48_zy,w_49_zy,w_50_zy,w_51_zy,w_52_zy,w_53_zy,all_zy
1,"Chronic obstructive pulmonary disease (J44)","59","197","215","185","154","189","169","179","161","156","170","157","140","168","117","98","148","158","140","174","154","166","143","130","148","173","135","123","159","153","136","161","128","179","155","142","130","124","126","138","108","112","99","88","52","58","49","35","17",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
2,"Acute asthma (J45)","49","130","135","115","110","108","101","106","102","100","97","111","93","77","83","67","115","97","84","133","87","111","86","136","95","109","135","89","107","134","112","115","100","128","117","110","99","106","104","77","77","68","57","72","36","43","53","20","16",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
3,"Acute asthma (J44.2)",null,null,null,null,"1",null,null,"1",null,null,null,null,null,null,null,null,null,null,"1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,"0",null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,"0",null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,"0",null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4,"Acute ischemic heart diseases (I21)","20","37","42","21","26","33","30","24","26","26","21","21","38","25","26","24","23","26","29","28","26","17","33","27","37","23","30","19","27","38","21","26","28","27","21","19","21","12","15","6","6","6","7","7","4","2","5","1",null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,null
5,"Other acute ischemic heart diseases (I24)",null,"2","1","2",null,null,"2",null,"1",null,"3","1","1","1","1",null,null,null,null,"2","1","1","1","1","2","2","1","2","1","1","1",null,"2",null,null,"1","1","5",null,"3",null,null,null,"1",null,null,"3",null,null,null,null,null,null,null,null,"0","0","0",null,null,"0",null,"0",null,"0","0","0","0","0",null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0",null,"0",null,null,"0","0","0",null,"0",null,null,null,"0",null,null,"0",null,null,null,null,null,null,null,null,"0","0","0",null,null,"0",null,"0",null,"0","0","0","0","0",null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0",null,"0",null,null,"0","0","0",null,"0",null,null,null,"0",null,null,"0",null,null,null,null,null,null,null,null,"0","0","0",null,null,"0",null,"0",null,"0","0","0","0","0",null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0",null,"0",null,null,"0","0","0",null,"0",null,null,null,"0",null,null,"0",null,null,null,null,null,null,null
6,"Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (I22)",null,null,"1",null,"1","2",null,null,"1",null,null,"1",null,"2",null,null,"1",null,"2","1",null,null,null,null,null,null,"1",null,null,null,"1","1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,"0","0",null,null,"0",null,null,"0",null,"0",null,null,"0",null,"0","0",null,null,null,null,null,null,"0",null,null,null,"0","0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,"0","0",null,null,"0",null,null,"0",null,"0",null,null,"0",null,"0","0",null,null,null,null,null,null,"0",null,null,null,"0","0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,"0","0",null,null,"0",null,null,"0",null,"0",null,null,"0",null,"0","0",null,null,null,null,null,null,"0",null,null,null,"0","0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7,"Conjunctivitis (H10)","51","106","133","110","116","139","125","121","121","95","129","127","111","112","78","80","143","111","75","87","107","109","82","101","100","108","82","70","113","101","96","123","80","105","117","113","95","118","96","92","102","82","91","81","65","75","57","55","19",null,null,null,null,null,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
8,"Eczema (L30.9)","40","66","75","75","49","64","68","58","76","71","75","58","65","62","59","57","99","93","82","75","95","87","71","81","76","71","68","57","88","74","62","76","67","83","100","75","74","70","75","60","61","35","56","47","32","38","32","27","11",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
9,"Urticaria (L50)","35","50","42","62","57","51","46","62","51","58","53","61","58","62","63","68","66","64","60","63","75","75","62","69","81","56","75","76","55","73","70","76","63","68","61","59","62","59","65","56","49","46","38","31","30","27","26","21","6",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
