ordering,group_name,w_01_m,w_02_m,w_03_m,w_04_m,w_05_m,w_06_m,w_07_m,w_08_m,w_09_m,w_10_m,w_11_m,w_12_m,w_13_m,w_14_m,w_15_m,w_16_m,w_17_m,w_18_m,w_19_m,w_20_m,w_21_m,w_22_m,w_23_m,w_24_m,w_25_m,w_26_m,w_27_m,w_28_m,w_29_m,w_30_m,w_31_m,w_32_m,w_33_m,w_34_m,w_35_m,w_36_m,w_37_m,w_38_m,w_39_m,w_40_m,w_41_m,w_42_m,w_43_m,w_44_m,w_45_m,w_46_m,w_47_m,w_48_m,w_49_m,w_50_m,w_51_m,w_52_m,w_53_m,all_m,w_01_z,w_02_z,w_03_z,w_04_z,w_05_z,w_06_z,w_07_z,w_08_z,w_09_z,w_10_z,w_11_z,w_12_z,w_13_z,w_14_z,w_15_z,w_16_z,w_17_z,w_18_z,w_19_z,w_20_z,w_21_z,w_22_z,w_23_z,w_24_z,w_25_z,w_26_z,w_27_z,w_28_z,w_29_z,w_30_z,w_31_z,w_32_z,w_33_z,w_34_z,w_35_z,w_36_z,w_37_z,w_38_z,w_39_z,w_40_z,w_41_z,w_42_z,w_43_z,w_44_z,w_45_z,w_46_z,w_47_z,w_48_z,w_49_z,w_50_z,w_51_z,w_52_z,w_53_z,all_z,w_01_y,w_02_y,w_03_y,w_04_y,w_05_y,w_06_y,w_07_y,w_08_y,w_09_y,w_10_y,w_11_y,w_12_y,w_13_y,w_14_y,w_15_y,w_16_y,w_17_y,w_18_y,w_19_y,w_20_y,w_21_y,w_22_y,w_23_y,w_24_y,w_25_y,w_26_y,w_27_y,w_28_y,w_29_y,w_30_y,w_31_y,w_32_y,w_33_y,w_34_y,w_35_y,w_36_y,w_37_y,w_38_y,w_39_y,w_40_y,w_41_y,w_42_y,w_43_y,w_44_y,w_45_y,w_46_y,w_47_y,w_48_y,w_49_y,w_50_y,w_51_y,w_52_y,w_53_y,all_y,w_01_zy,w_02_zy,w_03_zy,w_04_zy,w_05_zy,w_06_zy,w_07_zy,w_08_zy,w_09_zy,w_10_zy,w_11_zy,w_12_zy,w_13_zy,w_14_zy,w_15_zy,w_16_zy,w_17_zy,w_18_zy,w_19_zy,w_20_zy,w_21_zy,w_22_zy,w_23_zy,w_24_zy,w_25_zy,w_26_zy,w_27_zy,w_28_zy,w_29_zy,w_30_zy,w_31_zy,w_32_zy,w_33_zy,w_34_zy,w_35_zy,w_36_zy,w_37_zy,w_38_zy,w_39_zy,w_40_zy,w_41_zy,w_42_zy,w_43_zy,w_44_zy,w_45_zy,w_46_zy,w_47_zy,w_48_zy,w_49_zy,w_50_zy,w_51_zy,w_52_zy,w_53_zy,all_zy
1,"Chronic obstructive pulmonary disease (J44)","61","104","122","114","136","124","110","125","101","101","107","118","106","116","87","82","108","133","100","100","110","123","115","132","126","111","104","95","121","122","82","100","90","73","85","85","87","94","84","92","110","125","114","86","63","65","54","41","7",null,null,null,null,null,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
2,"Acute asthma (J45)","72","162","199","180","143","169","166","134","147","161","151","144","142","137","128","90","129","144","116","91","155","185","122","137","137","188","137","138","155","167","118","124","131","178","161","122","124","153","149","133","178","151","150","145","86","74","79","82","12",null,null,null,null,null,"0","0","0","0","2","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
3,"Acute asthma (J44.2)",null,"1",null,null,null,null,null,null,null,null,null,null,null,"1",null,"1",null,null,null,null,null,null,null,null,null,null,null,null,null,"1",null,null,null,null,null,"1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,"0",null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,"0",null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,"0",null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4,"Acute ischemic heart diseases (I21)","23","53","40","48","58","56","43","33","39","45","39","45","29","45","32","44","35","50","30","24","46","43","39","32","37","52","37","42","38","48","41","37","20","47","34","18","41","37","31","38","40","42","36","33","14","16","23","12","2",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
5,"Other acute ischemic heart diseases (I24)",null,"4","3","3","5","2","2","4","3","3","2","3","6","4","2","3",null,"3","1","2","3","8","4","15",null,"86","2","8","1","8","3","4","1","5","3","1","1","5","1",null,"2","2","2","1","1","2","3","4","2",null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0",null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0",null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0",null,null,null,null,null
6,"Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (I22)","3","3","3","2","5","5","1","2","4","1","3","2","2","2","1","2",null,"3","3",null,"1","2","2",null,"2","2","1","2",null,null,"1","3","2","3","2","2","1","1",null,"2","2","2","3","3","1","1","1",null,null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0",null,"0","0","0",null,"0","0","0","0",null,null,"0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0",null,null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0",null,"0","0","0",null,"0","0","0","0",null,null,"0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0",null,null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0",null,"0","0","0",null,"0","0","0","0",null,null,"0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0",null,null,null,null,null,null,null
7,"Conjunctivitis (H10)","98","264","244","263","259","256","230","226","234","236","249","240","264","233","189","176","262","232","208","174","249","207","212","233","222","229","190","175","228","248","181","225","180","223","213","158","175","193","217","208","213","199","220","225","131","141","154","150","91",null,null,null,null,null,"0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
8,"Eczema (L30.9)","96","172","237","226","173","238","195","158","211","249","248","277","228","224","211","156","295","249","194","195","296","263","175","188","201","247","225","194","255","249","201","236","158","212","216","205","218","231","214","248","209","264","218","186","80","98","68","61","30",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
9,"Urticaria (L50)","45","87","86","100","83","92","90","87","112","107","109","107","104","94","104","92","104","115","97","96","127","119","105","133","130","116","101","107","101","97","112","123","105","99","124","105","108","105","113","110","85","85","97","75","51","71","49","29","16",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
