ordering,group_name,w_01_m,w_02_m,w_03_m,w_04_m,w_05_m,w_06_m,w_07_m,w_08_m,w_09_m,w_10_m,w_11_m,w_12_m,w_13_m,w_14_m,w_15_m,w_16_m,w_17_m,w_18_m,w_19_m,w_20_m,w_21_m,w_22_m,w_23_m,w_24_m,w_25_m,w_26_m,w_27_m,w_28_m,w_29_m,w_30_m,w_31_m,w_32_m,w_33_m,w_34_m,w_35_m,w_36_m,w_37_m,w_38_m,w_39_m,w_40_m,w_41_m,w_42_m,w_43_m,w_44_m,w_45_m,w_46_m,w_47_m,w_48_m,w_49_m,w_50_m,w_51_m,w_52_m,w_53_m,all_m,w_01_z,w_02_z,w_03_z,w_04_z,w_05_z,w_06_z,w_07_z,w_08_z,w_09_z,w_10_z,w_11_z,w_12_z,w_13_z,w_14_z,w_15_z,w_16_z,w_17_z,w_18_z,w_19_z,w_20_z,w_21_z,w_22_z,w_23_z,w_24_z,w_25_z,w_26_z,w_27_z,w_28_z,w_29_z,w_30_z,w_31_z,w_32_z,w_33_z,w_34_z,w_35_z,w_36_z,w_37_z,w_38_z,w_39_z,w_40_z,w_41_z,w_42_z,w_43_z,w_44_z,w_45_z,w_46_z,w_47_z,w_48_z,w_49_z,w_50_z,w_51_z,w_52_z,w_53_z,all_z,w_01_y,w_02_y,w_03_y,w_04_y,w_05_y,w_06_y,w_07_y,w_08_y,w_09_y,w_10_y,w_11_y,w_12_y,w_13_y,w_14_y,w_15_y,w_16_y,w_17_y,w_18_y,w_19_y,w_20_y,w_21_y,w_22_y,w_23_y,w_24_y,w_25_y,w_26_y,w_27_y,w_28_y,w_29_y,w_30_y,w_31_y,w_32_y,w_33_y,w_34_y,w_35_y,w_36_y,w_37_y,w_38_y,w_39_y,w_40_y,w_41_y,w_42_y,w_43_y,w_44_y,w_45_y,w_46_y,w_47_y,w_48_y,w_49_y,w_50_y,w_51_y,w_52_y,w_53_y,all_y,w_01_zy,w_02_zy,w_03_zy,w_04_zy,w_05_zy,w_06_zy,w_07_zy,w_08_zy,w_09_zy,w_10_zy,w_11_zy,w_12_zy,w_13_zy,w_14_zy,w_15_zy,w_16_zy,w_17_zy,w_18_zy,w_19_zy,w_20_zy,w_21_zy,w_22_zy,w_23_zy,w_24_zy,w_25_zy,w_26_zy,w_27_zy,w_28_zy,w_29_zy,w_30_zy,w_31_zy,w_32_zy,w_33_zy,w_34_zy,w_35_zy,w_36_zy,w_37_zy,w_38_zy,w_39_zy,w_40_zy,w_41_zy,w_42_zy,w_43_zy,w_44_zy,w_45_zy,w_46_zy,w_47_zy,w_48_zy,w_49_zy,w_50_zy,w_51_zy,w_52_zy,w_53_zy,all_zy
1,"Chronic obstructive pulmonary disease (J44)","61","114","108","105","107","123","120","88","99","108","96","98","86","125","100","83","107","99","77","98","105","107","91","92","106","92","92","83","71","93","82","66","81","48","42","66","86","104","96","111","117","123","109","94","92","97","91","125","50","30","7","4",null,null,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null
2,"Acute asthma (J45)","108","186","194","229","234","231","202","219","211","208","199","197","181","189","166","120","174","171","152","151","184","202","164","195","199","173","179","199","190","194","188","159","148","115","94","158","166","200","187","225","197","202","169","159","204","241","212","238","128","99","37","26","5",null,"0","0","0","9","9","8","5","9","2","2","2","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","1","9","7","5","9","2","2","2","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","1","9","7","5","9","2","2","2","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null
3,"Acute asthma (J44.2)",null,null,"3",null,null,"1","1",null,"1",null,null,"1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"1",null,null,null,null,null,null,null,null,"1",null,null,null,null,null,null,null,null,null,null,null,"0",null,null,"0","0",null,"0",null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,"0",null,null,"0","0",null,"0",null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,"0",null,null,"0","0",null,"0",null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null
4,"Acute ischemic heart diseases (I21)","37","68","68","62","61","87","61","58","35","45","65","59","40","48","48","41","44","55","58","61","53","40","42","33","45","58","51","46","54","51","58","42","29","28","31","24","36","41","52","41","56","56","42","47","54","54","63","45","28","6","1","1","1",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null
5,"Other acute ischemic heart diseases (I24)",null,"7","5","5","5","7","3","6","6","2","2","10","5","14","4","7","10","10","5","4","12","10","4","7","8","7","3","9","9","11","8","4","3","5","2","3","7","7","8","3","10","13","12","9","9","6","12","7","9","4",null,"1",null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0",null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0",null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0",null,null
6,"Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (I22)","1","1","4","1","1","5","2","2","1","1","1","2",null,null,"2",null,"2","2",null,"1","3",null,null,"2","2","3","2","1","2","1","4",null,null,null,"1","1","2","1",null,null,"2","1",null,null,"1","1",null,null,"1",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0",null,null,"0",null,"0","0",null,"0","0",null,null,"0","0","0","0","0","0","0","0",null,null,null,"0","0","0","0",null,null,"0","0",null,null,"0","0",null,null,"0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0",null,null,"0",null,"0","0",null,"0","0",null,null,"0","0","0","0","0","0","0","0",null,null,null,"0","0","0","0",null,null,"0","0",null,null,"0","0",null,null,"0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0",null,null,"0",null,"0","0",null,"0","0",null,null,"0","0","0","0","0","0","0","0",null,null,null,"0","0","0","0",null,null,"0","0",null,null,"0","0",null,null,"0",null,null,null,null,null
7,"Conjunctivitis (H10)","103","258","256","299","291","321","288","304","294","269","291","283","280","262","225","238","304","258","223","199","240","211","202","218","251","220","235","215","233","225","215","193","196","205","145","164","198","193","259","208","207","181","219","188","198","245","228","193","129","136","95","110","27","879","0","0","0","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
8,"Eczema (L30.9)","84","212","168","188","168","205","172","162","194","213","182","185","166","166","180","129","207","205","148","177","173","185","197","218","220","201","204","169","213","200","215","211","188","132","107","119","129","209","204","178","191","167","164","172","181","192","164","196","130","90","59","49","4",null,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null
9,"Urticaria (L50)","40","67","71","69","79","86","77","77","86","66","89","76","65","82","71","76","99","88","68","70","86","101","76","91","64","79","71","76","90","82","89","69","75","63","40","60","50","90","81","73","73","78","68","74","82","85","70","67","45","33","9","9","6",null,"0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null
