ordering,group_name,w_01_m,w_02_m,w_03_m,w_04_m,w_05_m,w_06_m,w_07_m,w_08_m,w_09_m,w_10_m,w_11_m,w_12_m,w_13_m,w_14_m,w_15_m,w_16_m,w_17_m,w_18_m,w_19_m,w_20_m,w_21_m,w_22_m,w_23_m,w_24_m,w_25_m,w_26_m,w_27_m,w_28_m,w_29_m,w_30_m,w_31_m,w_32_m,w_33_m,w_34_m,w_35_m,w_36_m,w_37_m,w_38_m,w_39_m,w_40_m,w_41_m,w_42_m,w_43_m,w_44_m,w_45_m,w_46_m,w_47_m,w_48_m,w_49_m,w_50_m,w_51_m,w_52_m,w_53_m,all_m,w_01_z,w_02_z,w_03_z,w_04_z,w_05_z,w_06_z,w_07_z,w_08_z,w_09_z,w_10_z,w_11_z,w_12_z,w_13_z,w_14_z,w_15_z,w_16_z,w_17_z,w_18_z,w_19_z,w_20_z,w_21_z,w_22_z,w_23_z,w_24_z,w_25_z,w_26_z,w_27_z,w_28_z,w_29_z,w_30_z,w_31_z,w_32_z,w_33_z,w_34_z,w_35_z,w_36_z,w_37_z,w_38_z,w_39_z,w_40_z,w_41_z,w_42_z,w_43_z,w_44_z,w_45_z,w_46_z,w_47_z,w_48_z,w_49_z,w_50_z,w_51_z,w_52_z,w_53_z,all_z,w_01_y,w_02_y,w_03_y,w_04_y,w_05_y,w_06_y,w_07_y,w_08_y,w_09_y,w_10_y,w_11_y,w_12_y,w_13_y,w_14_y,w_15_y,w_16_y,w_17_y,w_18_y,w_19_y,w_20_y,w_21_y,w_22_y,w_23_y,w_24_y,w_25_y,w_26_y,w_27_y,w_28_y,w_29_y,w_30_y,w_31_y,w_32_y,w_33_y,w_34_y,w_35_y,w_36_y,w_37_y,w_38_y,w_39_y,w_40_y,w_41_y,w_42_y,w_43_y,w_44_y,w_45_y,w_46_y,w_47_y,w_48_y,w_49_y,w_50_y,w_51_y,w_52_y,w_53_y,all_y,w_01_zy,w_02_zy,w_03_zy,w_04_zy,w_05_zy,w_06_zy,w_07_zy,w_08_zy,w_09_zy,w_10_zy,w_11_zy,w_12_zy,w_13_zy,w_14_zy,w_15_zy,w_16_zy,w_17_zy,w_18_zy,w_19_zy,w_20_zy,w_21_zy,w_22_zy,w_23_zy,w_24_zy,w_25_zy,w_26_zy,w_27_zy,w_28_zy,w_29_zy,w_30_zy,w_31_zy,w_32_zy,w_33_zy,w_34_zy,w_35_zy,w_36_zy,w_37_zy,w_38_zy,w_39_zy,w_40_zy,w_41_zy,w_42_zy,w_43_zy,w_44_zy,w_45_zy,w_46_zy,w_47_zy,w_48_zy,w_49_zy,w_50_zy,w_51_zy,w_52_zy,w_53_zy,all_zy
1,"Chronic obstructive pulmonary disease (J44)","75","157","135","161","135","157","142","127","156","128","126","93","145","149","108","96","164","156","108","119","112","111","111","119","107","91","118","115","120","141","115","116","106","137","139","124","141","138","124","126","142","128","136","110","37","35","42","35","2",null,null,null,null,null,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
2,"Acute asthma (J45)","63","139","170","182","144","146","113","132","153","102","93","110","100","107","109","79","111","103","104","109","112","111","110","108","126","122","119","106","122","153","108","135","111","143","153","129","142","126","145","131","157","136","123","102","39","49","45","40","12",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
3,"Acute asthma (J44.2)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"0",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4,"Acute ischemic heart diseases (I21)","16","40","46","59","45","42","41","32","23","31","41","29","36","33","12","21","33","38","18","32","32","34","38","29","20","24","36","16","39","31","27","33","25","33","19","39","37","35","28","26","43","30","38","18","14","8","13","2",null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,null
5,"Other acute ischemic heart diseases (I24)","1","4","1","5","1",null,"4","3","1","1",null,"2","1","1","2","1","3","2","2","4","2","3","1","3","2","2","2","3",null,"3","1","3","4","3","1","1","5","2","1","2","2","3",null,"2",null,null,null,"2",null,null,null,null,null,null,"0","0","0","0","0",null,"0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0",null,null,null,"0",null,null,null,null,null,null,"0","0","0","0","0",null,"0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0",null,null,null,"0",null,null,null,null,null,null,"0","0","0","0","0",null,"0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0","0","0","0","0","0","0","0","0","0","0",null,"0",null,null,null,"0",null,null,null,null,null,null
6,"Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (I22)",null,"2",null,"1","4","3","2","1","2","1","1","5","4","2",null,"2","1","1",null,null,"1","1","2",null,"3",null,"2","2","1","2",null,null,null,null,null,"2","1",null,"1",null,null,"3","1",null,null,null,null,null,null,null,null,null,null,null,null,"0",null,"0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0",null,null,"0","0","0",null,"0",null,"0","0","0","0",null,null,null,null,null,"0","0",null,"0",null,null,"0","0",null,null,null,null,null,null,null,null,null,null,null,null,"0",null,"0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0",null,null,"0","0","0",null,"0",null,"0","0","0","0",null,null,null,null,null,"0","0",null,"0",null,null,"0","0",null,null,null,null,null,null,null,null,null,null,null,null,"0",null,"0","0","0","0","0","0","0","0","0","0","0",null,"0","0","0",null,null,"0","0","0",null,"0",null,"0","0","0","0",null,null,null,null,null,"0","0",null,"0",null,null,"0","0",null,null,null,null,null,null,null,null,null,null,null
7,"Conjunctivitis (H10)","42","127","150","124","149","164","155","175","151","160","128","168","158","134","129","129","164","140","155","104","129","110","117","139","137","140","120","146","162","143","142","145","119","133","154","134","110","124","128","139","127","110","117","112","64","58","52","37","21",null,null,null,null,null,"0","0","0","0","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
8,"Eczema (L30.9)","49","129","125","128","101","130","104","133","133","143","129","128","139","104","120","111","190","156","138","147","173","136","122","168","157","166","139","133","130","159","124","155","132","121","182","164","133","134","123","140","124","115","115","118","39","48","41","29","17",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
9,"Urticaria (L50)","39","71","76","65","95","87","80","100","78","109","119","109","90","84","72","83","109","84","83","90","102","91","100","92","102","79","91","91","92","93","102","92","87","93","91","96","74","94","86","73","79","89","74","67","46","37","38","19","8",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",null,null,null,null,null
